pattern,offset
36432643,1816743904
55458876,1805105890
81201717,1752416387
31956492,1681992942
11821244,1678052810
12026987,1669501858
66904067,1655878882
85103233,1655406439
82616876,1597161816
01793962,1593327446
67624676,1591703448
42828856,1587152295
86994918,1562129134
01205972,1553436023
90008100,1553375084
09892937,1549038578
30029223,1548455826
43927427,1541659152
68514784,1538939207
06521133,1534309213
19405041,1534260319
37436393,1528466900
43881947,1515314468
74421096,1514548683
53753894,1509058851
80057420,1505687613
83086277,1505358621
71154261,1500684437
17029995,1495817305
66565685,1494426743
25158259,1480122999
72295526,1479505860
89378452,1479246783
90945032,1476887394
74845317,1468028441
35265450,1467429393
24376592,1467415414
99021182,1467224030
34828572,1463657327
44870971,1459705934
10036087,1458465940
30898336,1457323925
25909332,1456947686
54683238,1456649468
59527588,1455089423
84957807,1446719313
54702043,1446432517
69461480,1444982349
42599718,1444798269
39544322,1443491863
41053832,1442824381
43756749,1439340137
11065826,1437731916
59639718,1436172137
05489079,1436166339
23608406,1435868232
87194342,1433705446
72368413,1431410182
66352148,1428970401
48655483,1428579462
49670050,1428066089
99075412,1426764812
97370359,1426737174
65814251,1425573297
76956795,1424493387
00911020,1422992191
38315815,1422809733
36359674,1422767290
62014975,1422740588
61621909,1421265042
03164916,1417494464
67964910,1414705135
02314029,1413404607
34168062,1410600867
23773448,1410250840
98810495,1409721013
77975739,1409493940
47669413,1409334126
36685038,1408215763
80400634,1407293552
26976314,1405256856
24457736,1404660837
98255326,1404055777
25207617,1403994062
52179261,1403619989
95747569,1403315014
19077978,1402282600
33906107,1401432762
20196905,1401172783
44613620,1399679720
00111185,1398950808
41824426,1398849393
10315807,1397319266
79308054,1395820028
72541393,1395158312
17516599,1393186208
83736425,1392206640
61340011,1391424269
59043189,1390606610
34171832,1389814623
67522825,1389378641
91703664,1389361414
04853700,1389305824
00988659,1389254854
08115662,1388402750
66713282,1387803937
26401095,1385111586
82606567,1383815779
44825145,1381774378
89777896,1381691744
10792087,1380374601
85388672,1379606848
99942611,1378422145
37313588,1377979484
28331152,1377586708
32004014,1376873512
52403238,1376859932
54381791,1376555096
04294826,1374407911
99826902,1372502423
64754296,1372376564
54953014,1371135384
92458640,1368741490
28819074,1368667483
39621391,1368323120
48856310,1366950857
16379975,1366637951
86385707,1363080948
31340883,1361848029
17253871,1361010378
86076603,1360834196
11346063,1360728752
47893031,1360518582
40423052,1359681442
57040941,1359277823
56822138,1359139178
40192696,1357259334
41286448,1356491244
63895812,1353751273
87381989,1350502305
36653810,1350366818
94086829,1350062500
22652859,1349361779
83243649,1349130544
39954313,1348210312
49980610,1347641813
13428515,1347398170
96692115,1345950025
76938462,1345889588
40074225,1345586452
34554726,1344756449
71349834,1344676425
54600874,1344535370
04157851,1344211883
09228955,1344038024
13081719,1343925619
10105001,1343373657
71279910,1342241629
96792695,1341856693
16566370,1341369412
77403022,1341208580
62805219,1340736822
29660026,1339670991
35297393,1337668951
66253782,1337110912
96196662,1336428991
61990099,1336358626
07938744,1335987360
93796674,1335375062
61225860,1332172201
24760546,1330639373
30297874,1330382959
84886467,1329889185
09670512,1329787843
42624656,1329119707
21931092,1328737149
02362222,1328631088
96616072,1328472014
43998920,1327701318
92856529,1327088395
79892203,1326288052
46132249,1326120770
27066011,1325805004
52258383,1325464254
85723101,1324984560
86701651,1323236609
12110258,1320888156
44072305,1319944747
68983362,1319875965
88006174,1319709354
13308626,1319342790
72991331,1319008610
25636923,1318711733
52710278,1318472141
37906905,1317497359
53071120,1317275883
41895026,1315332841
49936009,1314222881
65287120,1314130510
03049806,1313883030
21956927,1313713430
04133768,1313180002
67359573,1312480527
67246211,1311759451
04591339,1311238647
93745399,1311031782
79111710,1309224398
93939416,1309111254
30903311,1308620920
20595833,1308520061
05730395,1308280268
46562893,1308009664
10899081,1307527353
80276009,1307477228
13357760,1307197076
93220305,1306631460
52549458,1303952339
24764950,1302557185
76424411,1302397270
35615604,1301660682
21905851,1300340785
06576328,1300176302
11242409,1299958909
42988429,1299014237
89559309,1299008933
25913315,1298708817
74296497,1298245558
95884346,1298190429
22043800,1297738859
00831975,1297657929
47728123,1297591316
82745953,1297395464
03022891,1297226565
45831500,1297067754
00172404,1296093845
47585494,1295994061
13548871,1295560438
77553083,1295408416
29341591,1295192358
29660450,1295186439
16895352,1295022636
60749492,1294167742
80287895,1293857661
50204945,1293775467
30470270,1291752654
18103115,1291640718
88393402,1290999280
45667459,1290611717
29999275,1290416050
85149552,1290286162
94393598,1290049569
33036176,1288838010
04594156,1288685406
64222168,1288162785
80543740,1288027517
19277161,1287474191
53022782,1286764205
80317171,1286003025
97136801,1284159284
15196847,1283461813
30222502,1282510037
77402298,1282382884
34580438,1282293485
97446107,1282276593
87189798,1281730955
10559418,1281697580
31603368,1280013051
79134919,1279500553
08565019,1277964175
31174174,1277685524
50413718,1277290584
02593933,1276911473
54269976,1276890107
75328754,1276498637
45825369,1275098901
05552459,1274870799
44566436,1274230381
22948226,1274184941
53421382,1273482149
73949296,1272989385
11690445,1272504455
50279708,1272470744
60583714,1271939562
71505899,1271905246
35107526,1271787636
83960040,1271526466
30608255,1271234147
12633597,1270875014
31929178,1270184957
92138588,1269948085
29766052,1269494111
23425886,1268989000
37679840,1268968040
64177646,1268816610
33430632,1268760928
49032375,1268622491
56529271,1268422024
00632360,1268390823
93138372,1268256864
78312499,1267808475
03772353,1267540580
70846440,1267332470
96183681,1267239006
64258572,1267218223
04699809,1265744382
75852593,1265606352
86816189,1264446502
90771417,1264374663
02718209,1264229947
48108849,1264144257
65360014,1264142042
57365769,1264140784
37880786,1262752269
46002209,1262128208
63366163,1261843306
27056971,1261091016
29429259,1260885670
55875656,1260254709
95532617,1260150051
81687941,1260071345
72091732,1259769947
09248097,1259419374
27958813,1259230650
54129877,1258421937
41229911,1258076921
75913850,1257949351
50591856,1257668416
89672399,1257483782
16408820,1257103455
25538300,1256880784
02979398,1256290957
00425024,1256171555
68598453,1255977288
59263045,1255755298
88727384,1255706580
70582404,1255382491
23452364,1254596174
64284199,1254402876
23440017,1254314113
31492070,1254218605
37708202,1254057416
35144656,1253310688
17732882,1253226725
75144561,1253132454
92766099,1252459044
94866924,1252366529
58153618,1252184796
26914096,1252042672
85253459,1251495797
59247055,1251086199
56419255,1250018126
64204279,1249765157
63258087,1249685897
46586019,1249585244
01788429,1249479715
01017172,1248747399
38457499,1248726415
47785855,1248452923
27090741,1248324387
19712584,1248269639
65244973,1248077644
97145969,1247560889
46832299,1247511613
07694380,1247503388
16208151,1247059087
20110935,1246733899
62216373,1246529560
40855216,1246449965
11606783,1246264582
95868992,1246249616
91926333,1245802345
78679656,1244373878
58228175,1244064155
52327758,1244030937
10317387,1243968351
02791000,1243618810
78117156,1243547850
06113067,1243437521
53354604,1243342952
82087618,1243340048
13336525,1243333269
45470305,1243304056
14167838,1242745281
72208471,1242489579
81736231,1242253616
05911556,1242191323
94284507,1241639178
79255043,1241483553
90774062,1241401970
84280564,1241391384
33909651,1241118585
41777332,1240693439
49750436,1240504942
90223431,1240468550
81405658,1240134035
43609215,1239988267
96987162,1239755624
40447897,1239338769
33861573,1239337974
14567485,1239298166
29573604,1239079159
95505275,1238972763
58449775,1238915379
69039396,1238884196
89184710,1238619280
19494401,1238406480
03585513,1238206492
39361189,1238150402
01464159,1238017843
79844819,1238011715
39376509,1237991624
50276022,1237883197
76815652,1237637450
26916139,1237382113
86377355,1237371373
87333122,1237335518
70065524,1237046680
96852887,1235493071
35487746,1235362620
53277004,1235320744
57786563,1235182639
07009583,1235107232
86621961,1234892129
31392333,1234835499
63550723,1234706267
98572473,1234133535
16313195,1233968506
43265063,1233553667
20502774,1233497980
89533131,1232856503
01369498,1232847193
01253859,1232418293
30084232,1232126644
08791585,1231865669
64077469,1231532827
69518056,1231500886
84651865,1231433826
24460407,1231216581
04150635,1231104315
52939599,1230757605
65361676,1230544617
71019866,1230509211
27901708,1230087495
28893276,1229863476
19568551,1229850176
04090696,1229453096
94186683,1229208719
97737931,1228845622
71796547,1228728648
12892214,1228714065
22797326,1228602094
40916836,1227968252
83598918,1227912522
13188750,1227427163
24234523,1227154687
09884748,1226934669
34075770,1226737510
91413776,1226460338
78704722,1226052725
46375324,1225545617
97280751,1225517979
09457222,1225513053
62691137,1225242902
65792407,1225095095
11678692,1224773810
36898678,1224702238
62853738,1224682057
66828457,1224330406
51935218,1224284741
08012200,1224262432
75175704,1223843625
71512021,1223337400
49844648,1223266367
52492952,1223257223
12148347,1223133057
60825990,1222687741
23247899,1222367217
56379335,1222337600
66143767,1222321404
57784210,1222262581
65923707,1222249030
88215582,1222144460
86977172,1222026214
10073682,1222011604
17773337,1221416871
96106836,1221260074
90892371,1221076709
55570053,1220996272
16271470,1220764056
31737103,1220653404
84171045,1220552485
17091090,1220525320
88969944,1220446746
36265937,1220363481
67725008,1220330373
30453251,1220290432
03949871,1220246493
64743692,1219818517
03438923,1219725343
37485820,1219640295
77387569,1219471896
11198126,1219240656
48034932,1219046500
97324996,1218856164
03180937,1218727495
58566345,1218171505
73687391,1217754448
54230995,1217345557
29742495,1217199107
45212478,1216710530
45347772,1216155984
86363724,1215645632
75529356,1215573628
12998940,1215532115
32455900,1215404281
86351441,1215064942
83713710,1214631014
59428361,1214609382
61861330,1214551557
71098728,1214336886
31727831,1214322808
14967338,1213924030
59944371,1213675970
06387483,1213424423
07518806,1213094267
51693035,1213084818
47232370,1212907343
28155571,1212602502
21595672,1212418856
38831574,1212338068
19404172,1212279943
12166955,1212222580
89296467,1212200923
66739670,1212139237
98010460,1212106279
45375091,1211895171
28177434,1210689533
00729466,1210531304
34562840,1210293782
80024010,1210187518
29355958,1210115753
22216275,1210091081
74160247,1209320427
71175280,1208916677
02968267,1208812217
20423415,1208575492
60398501,1208528002
57244918,1208188665
97389139,1207700116
04092711,1207638184
55600706,1207394361
67839212,1207354904
65829654,1207332190
28244647,1207321102
44472752,1207115168
35284172,1207112031
39472376,1207023109
27059853,1207017658
85060047,1206820284
74351955,1206149540
63489512,1206005284
29139355,1205998620
23661777,1205951721
81868079,1205868558
22030585,1205672505
09009149,1205568339
06095687,1205520274
99662470,1205380315
96508784,1205111216
17813188,1205051977
11699080,1204996508
48198072,1204984284
85622204,1204558698
91576376,1204495641
94488541,1204348066
66289051,1204225564
84500514,1203851955
28697173,1203845909
43760470,1203738187
91425351,1203626781
76994418,1203568591
52423186,1203549102
60423813,1203428967
71771856,1203131181
01867599,1203058172
81928895,1202976187
83470595,1202862435
13480846,1202360160
79497591,1202234874
93674015,1202185376
11429343,1201619254
90473688,1201509930
51671017,1201409636
95847417,1201319879
35716104,1200976960
72001298,1200818085
85810394,1200676207
54382483,1200462876
76284037,1200324963
35442470,1200232356
01720278,1200187277
77305179,1199820950
07513706,1199799484
35638121,1199659501
01199894,1199482076
54255923,1199337648
41799904,1199113739
50286238,1198351015
31566852,1198282058
13447488,1197994835
82309699,1197840882
