0,31
00,306
000,600
0000,13389
00000,17533
000000,1699926
0000000,3794571
00000000,172330849
000000000,2542542101
0000000000,null
00000000000,null
1,0
11,93
111,152
1111,12699
11111,32787
111111,255944
1111111,4657554
11111111,159090112
111111111,812432525
1111111111,null
11111111111,null
12,147
123,1923
1234,13806
12345,49701
123456,2458884
1234567,9470343
12345678,186557265
123456789,523551501
1234567890,null
2,5
22,134
222,1734
2222,4901
22222,65259
222222,963023
2222222,82599810
22222222,175820909
222222222,1270311936
2222222222,null
22222222222,null
3,8
33,23
333,1697
3333,28466
33333,28466
333333,710099
3333333,710099
33333333,36488175
333333333,2011485306
3333333333,null
33333333333,null
4,1
44,58
444,2706
4444,54524
44444,808649
444444,828498
4444444,17893952
44444444,22931744
444444444,1346808618
4444444444,null
44444444444,null
5,3
55,129
555,176
5555,24465
55555,24465
555555,244452
5555555,3517235
55555555,168743354
555555555,null
5555555555,null
55555555555,null
6,6
66,116
666,2439
6666,21879
66666,48438
666666,252498
6666666,8209164
66666666,45681780
666666666,45681780
6666666666,386980411
66666666666,null
7,12
77,558
777,1588
7777,1588
77777,162247
777777,399578
7777777,3346227
77777777,24658600
777777777,24658600
7777777777,null
77777777777,null
8,10
88,33
888,4750
8888,4750
88888,213244
888888,222298
8888888,4722612
88888888,46663519
888888888,46663519
8888888888,3040319542
88888888888,null
9,4
99,43
999,761
9999,761
99999,761
999999,761
9999999,1722775
99999999,36356641
999999999,564665205
9999999999,null
99999999999,null
